path,filename,extension,is_raw,has_pair,date_time_original,camera_make,camera_model,lens_model,iso,f_number,shutter_speed,focal_length,sharpness_score,exposure_score,noise_score,composition_score,aesthetic_score,total_score,faces,burst_group,burst_size,burst_rank,burst_keep
archive\DSC00937.JPG,DSC00937.JPG,jpg,false,true,2026:07:19 15:55:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,34,61.6,36.0,77.1,60.0,55.6,57.7,0,34,2,1,true
archive\DSC00938.ARW,DSC00938.ARW,arw,true,true,2026:07:19 15:58:17,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,29,46.6,32.9,84.7,60.0,44.0,51.2,0,0,,,
archive\DSC00938.JPG,DSC00938.JPG,jpg,false,true,2026:07:19 15:58:17,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,29,46.6,32.9,84.7,60.0,44.0,51.2,0,0,,,
archive\DSC00940.ARW,DSC00940.ARW,arw,true,true,2026:07:19 16:03:06,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,35,43.3,43.1,85.2,17.9,43.0,45.7,1,36,2,2,true
archive\DSC00940.JPG,DSC00940.JPG,jpg,false,true,2026:07:19 16:03:06,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,35,43.3,43.1,85.2,17.9,43.0,45.7,1,36,2,2,true
archive\DSC00941.ARW,DSC00941.ARW,arw,true,true,2026:07:19 16:03:06,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,35,43.2,43.1,85.4,18.1,44.7,46.0,1,36,2,1,true
archive\DSC00941.JPG,DSC00941.JPG,jpg,false,true,2026:07:19 16:03:06,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,35,43.2,43.1,85.4,18.1,44.7,46.0,1,36,2,1,true
archive\DSC00942.ARW,DSC00942.ARW,arw,true,true,2026:07:19 16:03:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,28,64.7,67.2,74.9,60.0,57.3,64.9,0,37,2,1,true
archive\DSC00942.JPG,DSC00942.JPG,jpg,false,true,2026:07:19 16:03:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,28,64.7,67.2,74.9,60.0,57.3,64.9,0,37,2,1,true
archive\DSC00943.ARW,DSC00943.ARW,arw,true,true,2026:07:19 16:03:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,28,64.1,68.7,73.5,60.0,58.3,64.9,0,37,2,2,true
archive\DSC00943.JPG,DSC00943.JPG,jpg,false,true,2026:07:19 16:03:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,28,64.1,68.7,73.5,60.0,58.3,64.9,0,37,2,2,true
archive\DSC00944.ARW,DSC00944.ARW,arw,true,true,2026:07:19 16:04:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,35,42.6,75.1,77.4,60.0,42.9,57.0,0,38,2,2,true
archive\DSC00944.JPG,DSC00944.JPG,jpg,false,true,2026:07:19 16:04:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,35,42.6,75.1,77.4,60.0,42.9,57.0,0,38,2,2,true
archive\DSC00945.ARW,DSC00945.ARW,arw,true,true,2026:07:19 16:04:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,35,43.6,75.9,78.1,60.0,43.2,57.6,0,38,2,1,true
archive\DSC00945.JPG,DSC00945.JPG,jpg,false,true,2026:07:19 16:04:42,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,35,43.6,75.9,78.1,60.0,43.2,57.6,0,38,2,1,true
archive\DSC00946.ARW,DSC00946.ARW,arw,true,true,2026:07:19 16:04:55,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,31,48.4,82.8,65.4,60.0,46.5,59.3,0,0,,,
archive\DSC00946.JPG,DSC00946.JPG,jpg,false,true,2026:07:19 16:04:55,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,4,1/250,31,48.4,82.8,65.4,60.0,46.5,59.3,0,0,,,
archive\DSC00947.ARW,DSC00947.ARW,arw,true,true,2026:07:19 16:04:59,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,4,1/250,29,44.8,80.8,64.0,60.0,40.0,56.4,0,40,2,2,true
