path,filename,extension,is_raw,has_pair,date_time_original,camera_make,camera_model,lens_model,iso,f_number,shutter_speed,focal_length,sharpness_score,exposure_score,noise_score,composition_score,aesthetic_score,total_score,faces,burst_group,burst_size,burst_rank,burst_keep
archive\DSC00898.ARW,DSC00898.ARW,arw,true,true,2026:07:19 14:22:09,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,160,2.8,1/80,70,93.9,16.5,85.9,79.6,36.1,66.4,1,0,,,
archive\DSC00898.JPG,DSC00898.JPG,jpg,false,true,2026:07:19 14:22:09,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,160,2.8,1/80,70,93.9,16.5,85.9,79.6,36.1,66.4,1,0,,,
archive\DSC00899.ARW,DSC00899.ARW,arw,true,true,2026:07:19 14:22:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,320,2.8,1/80,70,89.5,27.3,84.7,70.5,39.5,66.0,1,16,2,1,true
archive\DSC00899.JPG,DSC00899.JPG,jpg,false,true,2026:07:19 14:22:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,320,2.8,1/80,70,89.5,27.3,84.7,70.5,39.5,66.0,1,16,2,1,true
archive\DSC00900.ARW,DSC00900.ARW,arw,true,true,2026:07:19 14:22:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,320,2.8,1/80,70,89.4,28.0,83.9,67.0,41.9,65.8,1,16,2,2,true
archive\DSC00900.JPG,DSC00900.JPG,jpg,false,true,2026:07:19 14:22:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,320,2.8,1/80,70,89.4,28.0,83.9,67.0,41.9,65.8,1,16,2,2,true
archive\DSC00901.ARW,DSC00901.ARW,arw,true,true,2026:07:19 15:22:59,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,3.5,1/125,28,49.8,55.4,41.2,60.0,52.8,51.6,0,0,,,
archive\DSC00901.JPG,DSC00901.JPG,jpg,false,true,2026:07:19 15:22:59,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,3.5,1/125,28,49.8,55.4,41.2,60.0,52.8,51.6,0,0,,,
archive\DSC00902.ARW,DSC00902.ARW,arw,true,true,2026:07:19 15:26:46,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,2.8,1/125,29,52.1,92.7,38.8,60.0,46.5,58.6,0,18,2,1,true
archive\DSC00902.JPG,DSC00902.JPG,jpg,false,true,2026:07:19 15:26:46,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,2.8,1/125,29,52.1,92.7,38.8,60.0,46.5,58.6,0,18,2,1,true
archive\DSC00903.ARW,DSC00903.ARW,arw,true,true,2026:07:19 15:26:48,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,2.8,1/125,29,51.9,90.7,36.4,60.0,42.9,57.2,0,18,2,2,true
archive\DSC00903.JPG,DSC00903.JPG,jpg,false,true,2026:07:19 15:26:48,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1250,2.8,1/125,29,51.9,90.7,36.4,60.0,42.9,57.2,0,18,2,2,true
archive\DSC00904.ARW,DSC00904.ARW,arw,true,true,2026:07:19 15:27:25,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,2.8,1/125,24,50.7,98.8,39.0,37.8,45.7,55.9,1,0,,,
archive\DSC00904.JPG,DSC00904.JPG,jpg,false,true,2026:07:19 15:27:25,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1000,2.8,1/125,24,50.7,98.8,39.0,37.8,45.7,55.9,1,0,,,
archive\DSC00906.ARW,DSC00906.ARW,arw,true,true,2026:07:19 15:27:34,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,3200,5,1/125,25,49.6,99.5,46.9,60.0,45.6,60.1,0,0,,,
archive\DSC00906.JPG,DSC00906.JPG,jpg,false,true,2026:07:19 15:27:34,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,3200,5,1/125,25,49.6,99.5,46.9,60.0,45.6,60.1,0,0,,,
archive\DSC00910.ARW,DSC00910.ARW,arw,true,true,2026:07:19 15:30:38,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,3200,5,1/320,28,52.8,32.8,66.6,60.0,38.2,49.8,0,0,,,
archive\DSC00910.JPG,DSC00910.JPG,jpg,false,true,2026:07:19 15:30:38,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,3200,5,1/320,28,52.8,32.8,66.6,60.0,38.2,49.8,0,0,,,
archive\DSC00911.ARW,DSC00911.ARW,arw,true,true,2026:07:19 15:30:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,2500,3.2,1/320,28,47.8,63.2,58.5,60.0,45.4,53.9,0,22,2,1,true
archive\DSC00911.JPG,DSC00911.JPG,jpg,false,true,2026:07:19 15:30:45,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,2500,3.2,1/320,28,47.8,63.2,58.5,60.0,45.4,53.9,0,22,2,1,true
archive\DSC00912.ARW,DSC00912.ARW,arw,true,true,2026:07:19 15:30:46,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,2500,3.2,1/320,28,47.6,62.7,58.4,60.0,44.9,53.7,0,22,2,2,true
archive\DSC00912.JPG,DSC00912.JPG,jpg,false,true,2026:07:19 15:30:46,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,2500,3.2,1/320,28,47.6,62.7,58.4,60.0,44.9,53.7,0,22,2,2,true
archive\DSC00913.ARW,DSC00913.ARW,arw,true,true,2026:07:19 15:38:15,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,2.8,1/250,32,49.9,94.9,52.5,60.0,47.6,60.5,0,0,,,
archive\DSC00913.JPG,DSC00913.JPG,jpg,false,true,2026:07:19 15:38:15,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,2.8,1/250,32,49.9,94.9,52.5,60.0,47.6,60.5,0,0,,,
archive\DSC00914.ARW,DSC00914.ARW,arw,true,true,2026:07:19 15:38:18,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,2.8,1/250,32,48.9,97.2,51.9,60.0,44.8,60.1,0,0,,,
archive\DSC00914.JPG,DSC00914.JPG,jpg,false,true,2026:07:19 15:38:18,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,1600,2.8,1/250,32,48.9,97.2,51.9,60.0,44.8,60.1,0,0,,,
archive\DSC00916.ARW,DSC00916.ARW,arw,true,true,2026:07:19 15:48:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,55.5,96.0,44.3,60.0,49.7,61.7,0,25,2,1,true
archive\DSC00916.JPG,DSC00916.JPG,jpg,false,true,2026:07:19 15:48:50,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,55.5,96.0,44.3,60.0,49.7,61.7,0,25,2,1,true
archive\DSC00917.ARW,DSC00917.ARW,arw,true,true,2026:07:19 15:48:51,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,54.5,95.8,45.3,40.0,47.6,58.2,1,25,2,2,true
archive\DSC00917.JPG,DSC00917.JPG,jpg,false,true,2026:07:19 15:48:51,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,54.5,95.8,45.3,40.0,47.6,58.2,1,25,2,2,true
archive\DSC00918.ARW,DSC00918.ARW,arw,true,true,2026:07:19 15:48:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,52.7,94.7,45.7,60.0,49.4,60.7,0,26,2,2,true
archive\DSC00918.JPG,DSC00918.JPG,jpg,false,true,2026:07:19 15:48:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,52.7,94.7,45.7,60.0,49.4,60.7,0,26,2,2,true
archive\DSC00919.ARW,DSC00919.ARW,arw,true,true,2026:07:19 15:48:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,54.0,94.9,45.7,60.0,55.0,62.0,0,26,2,1,true
archive\DSC00919.JPG,DSC00919.JPG,jpg,false,true,2026:07:19 15:48:57,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,640,4,1/250,30,54.0,94.9,45.7,60.0,55.0,62.0,0,26,2,1,true
archive\DSC00920.ARW,DSC00920.ARW,arw,true,true,2026:07:19 15:49:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,30,53.6,78.7,73.6,60.0,49.6,62.0,0,27,3,1,true
archive\DSC00920.JPG,DSC00920.JPG,jpg,false,true,2026:07:19 15:49:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,30,53.6,78.7,73.6,60.0,49.6,62.0,0,27,3,1,true
archive\DSC00921.ARW,DSC00921.ARW,arw,true,true,2026:07:19 15:49:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,30,53.6,77.8,74.3,60.0,49.4,61.9,0,27,3,2,true
archive\DSC00921.JPG,DSC00921.JPG,jpg,false,true,2026:07:19 15:49:12,SONY,ILCE-7M5,FE 24-70mm F2.8 GM II,500,4,1/250,30,53.6,77.8,74.3,60.0,49.4,61.9,0,27,3,2,true
